Tienda,Ticket,Material,Grupo art.,Denominacion 2 del gr.articulos,Producto,Venta,Fecha Vta,Hora Vta,Cantidad,UMB
TIENDA 1,2133638,3000700,600202,Refrescos - Coca Cola - Colas,Producto 41,23.75,01/06/2024,01:39:05,1,PZ
TIENDA 1,2133638,1502010,300412,Botanas - Barcel - Extruidos,Producto 42,43.44,01/06/2024,01:39:05,1,PZ
TIENDA 1,2133639,2500513,5002,Pan y Galletas - Pan,Producto 43,54.77,01/06/2024,01:40:57,1,PZ
TIENDA 1,2133639,3000221,600404,Refrescos - Pepsi - Sabores,Producto 44,14.95,01/06/2024,01:40:57,1,PZ
TIENDA 1,2133639,3000700,600202,Refrescos - Coca Cola - Colas,Producto 41,23.75,01/06/2024,01:40:57,1,PZ
TIENDA 1,2133640,4302422,8666,COMIDA RAPIDA - BAKES,Producto 45,69.46,01/06/2024,01:43:47,1,PZ
TIENDA 1,2133641,3499991,7004,Tabaco - Tabacos Pm,Producto 46,68.58,01/06/2024,01:45:11,1,PZ
TIENDA 1,2133641,3500086,7008,Tabaco - Encendedores y Cerillos,Producto 47,10.55,01/06/2024,01:45:11,1,PZ
TIENDA 1,2133641,3000700,600202,Refrescos - Coca Cola - Colas,Producto 41,23.75,01/06/2024,01:45:11,1,PZ
TIENDA 1,2133642,3000037,600202,Refrescos - Coca Cola - Colas,Producto 39,21.54,01/06/2024,01:54:03,1,PZ
TIENDA 1,2133642,3000037,600202,Refrescos - Coca Cola - Colas,Producto 39,21.54,01/06/2024,01:54:03,1,PZ
TIENDA 1,2133642,3500861,7004,Tabaco - Tabacos Pm,Producto 48,43.08,01/06/2024,01:54:03,1,PZ
TIENDA 1,2133643,1400622,280202,Bebidas - Te - Te,Producto 49,17.85,01/06/2024,01:54:44,1,PZ
TIENDA 1,2133643,2500170,5002,Pan y Galletas - Pan,Producto 34,26.45,01/06/2024,01:54:44,1,PZ
TIENDA 1,2133644,3000069,600202,Refrescos - Coca Cola - Colas,Producto 50,16.71,01/06/2024,02:01:31,1,PZ
TIENDA 1,2133644,4302422,8666,COMIDA RAPIDA - BAKES,Producto 45,66.83,01/06/2024,02:01:31,1,PZ
